City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,Diu,20.7141,70.9822,80.73,69,100,10.25,IN,2021-11-22 02:31:18
183,Santa Luzia,-19.7697,-43.8514,68.9,88,75,5.75,BR,2021-11-22 02:31:18
184,Griffith,41.5284,-87.4237,39.63,38,1,5.99,US,2021-11-22 02:31:19
185,Sabha,27.0377,14.4283,61.16,53,5,11.05,LY,2021-11-22 02:31:19
186,Sakaiminato,35.55,133.2333,57.18,100,75,14.97,JP,2021-11-22 02:31:20
187,Hualmay,-11.0964,-77.6139,65.07,84,93,7.34,PE,2021-11-22 02:31:21
188,Carutapera,-1.195,-46.02,78.73,80,79,6.58,BR,2021-11-22 02:31:22
189,Hagere Selam,6.4833,38.5167,44.11,90,81,4.14,ET,2021-11-22 02:31:22
190,Dunedin,-45.8742,170.5036,52.54,82,100,4.74,NZ,2021-11-22 02:29:34
191,Naze,28.3667,129.4833,67.12,86,90,13.27,JP,2021-11-22 02:31:23
192,Bilibino,68.0546,166.4372,-19.12,86,4,3.56,RU,2021-11-22 02:31:23
193,Itarema,-2.9248,-39.9167,78.8,81,34,11.77,BR,2021-11-22 02:31:24
194,Tanggu,39.0211,117.6469,33.76,28,0,21.05,CN,2021-11-22 02:31:24
195,Katsuura,35.1333,140.3,61.2,85,100,26.06,JP,2021-11-22 02:31:25
196,Severo-Yeniseyskiy,60.3725,93.0408,4.71,95,100,3.76,RU,2021-11-22 02:31:26
197,Marsh Harbour,26.5412,-77.0636,77.18,80,17,13.38,BS,2021-11-22 02:31:26
198,Hinton,53.4001,-117.5857,35.11,92,100,5.28,CA,2021-11-22 02:31:26
199,Lasa,46.6166,10.7002,43.68,84,94,2.53,IT,2021-11-22 02:31:27
200,Turayf,31.6725,38.6637,50.25,100,75,9.22,SA,2021-11-22 02:31:28
201,Zacatecoluca,13.5,-88.8667,78.98,80,27,3.36,SV,2021-11-22 02:31:28
202,Verkhnyaya Inta,65.9811,60.3094,8.19,93,100,4.7,RU,2021-11-22 02:31:29
203,Kirovskiy,45.0917,133.5136,31.39,98,100,11.59,RU,2021-11-22 02:31:29
204,Dingle,10.9995,122.6711,86.67,71,63,8.63,PH,2021-11-22 02:31:30
